日期,销售额,顾客数,促销,气温
2023-01-01,2541.011947694632,63,1,12.622942994529886
2023-01-02,6083.496506701409,120,0,25.28469753003843
2023-01-03,5109.031702961432,73,0,14.025370730124745
2023-01-04,5597.138908788832,113,1,13.663401461897491
2023-01-05,6061.1558738985395,142,0,21.129203037452942
2023-01-06,5620.383009383491,111,0,25.729173587340608
2023-01-07,3087.769992392945,77,0,31.30529007354018
2023-01-08,3850.1946319100066,56,1,24.114805721509413
2023-01-09,6589.242173331793,131,0,29.271936314750747
2023-01-10,5872.608952902584,104,0,15.482804948010001
2023-01-11,5542.808253054949,125,0,32.51162774511977
2023-01-12,6315.980930228755,126,1,12.574844845655
2023-01-13,5542.397804280947,124,0,19.531848729247788
2023-01-14,3281.6562362506916,87,0,25.02247772793553
2023-01-15,3422.639735649414,82,0,14.360642581579782
2023-01-16,5535.3751048093945,116,1,17.9182824915352
2023-01-17,6142.945075048514,102,1,17.289968928892886
2023-01-18,5176.8814107529115,103,1,21.33371929255742
2023-01-19,5172.134730901699,92,0,30.157126529926263
2023-01-20,4193.872075028678,76,0,23.296821948362698
2023-01-21,1821.0405432308235,28,0,21.059909274771044
2023-01-22,2290.109158514408,26,1,9.115139385872707
2023-01-23,4279.0630622615245,46,0,26.031021453099626
2023-01-24,3696.221733949428,60,0,27.80671110732697
2023-01-25,4201.29621875284,87,0,15.514781053008674
2023-01-26,4583.633397075127,64,0,23.837074227510563
2023-01-27,4697.051872031646,94,0,25.292796877164548
2023-01-28,2934.358674399663,96,0,29.305302203922576
2023-01-29,3018.745721992921,80,0,21.01166041780114
2023-01-30,4828.583979547213,129,0,20.410536595733902
2023-01-31,5043.0496866755775,108,0,22.655269009257964
2023-02-01,4918.43599182082,121,0,31.508894702407964
2023-02-02,6619.124162668347,117,0,30.45338328451885
2023-02-03,5924.51043460212,105,0,25.27332520452093
2023-02-04,3970.7182975799683,24,0,30.623235767617636
2023-02-05,3751.6293630582095,98,0,13.823561528650384
2023-02-06,7778.885467459042,186,0,29.766273765005636
2023-02-07,5827.857879256826,105,0,20.353436055538403
2023-02-08,6160.097932565237,118,0,34.91989117313057
2023-02-09,6548.9749344381835,115,0,20.899243924742557
2023-02-10,6566.131886656578,138,1,22.090512182733548
2023-02-11,4632.110853085237,115,0,29.298414261005703
2023-02-12,4911.589506177104,63,0,29.911116856327965
2023-02-13,6089.8154708061575,129,0,24.512775794493532
2023-02-14,5119.896290834427,96,0,28.72754784435182
2023-02-15,5321.527437439109,108,0,29.471482347158908
2023-02-16,5406.004495439184,117,0,29.082139503107914
2023-02-17,6097.376377677112,118,0,25.213665795167145
2023-02-18,2193.312008495379,41,0,29.880225350068308
2023-02-19,3348.14342713522,62,1,34.501572902048025
2023-02-20,4723.93178098877,113,0,21.45561568869149
2023-02-21,4977.858751319587,107,0,23.493848091130346
2023-02-22,4474.48074631376,93,0,27.93923667251065
2023-02-23,4114.2617895685635,56,0,22.628336364227607
2023-02-24,4964.379873405513,91,1,18.996592210610462
2023-02-25,3011.190109768372,78,0,33.581005469483394
2023-02-26,3302.883657392467,66,1,17.070824202892894
2023-02-27,4975.562430018209,112,0,26.2997927760364
2023-02-28,4873.352345264276,132,0,32.200905655138136
2023-03-01,4602.69481167032,112,0,29.83166986278564
2023-03-02,6009.6866340697015,122,0,26.651392752863266
2023-03-03,6029.856432039752,110,0,23.187365664621172
2023-03-04,3543.845326643819,19,0,30.478256117182116
2023-03-05,3948.498415644161,75,0,23.89870290709927
2023-03-06,6149.765419501673,116,0,30.249476396186797
2023-03-07,5774.5331877932285,123,1,29.700896937696214
2023-03-08,6202.215317992586,120,0,29.825302673302037
