时间(s),横荡(m),纵荡(m),垂荡(m),横摇(deg),纵摇(deg),艏摇(deg)
0,0.00,0.00,0.00,0.00,0.00,0.00
1,-0.08,-0.06,0.04,0.15,0.12,0.08
2,-0.15,-0.10,0.10,0.28,0.22,0.15
3,-0.20,-0.12,0.18,0.36,0.28,0.20
4,-0.22,-0.10,0.26,0.40,0.30,0.22
5,-0.20,-0.06,0.34,0.38,0.28,0.20
6,-0.15,-0.02,0.40,0.32,0.24,0.16
7,-0.08,0.02,0.44,0.24,0.18,0.10
8,-0.02,0.06,0.46,0.15,0.10,0.05
9,0.04,0.08,0.44,0.06,0.04,0.02
10,0.08,0.10,0.40,0.00,0.00,0.00
11,0.10,0.10,0.34,-0.06,-0.04,-0.02
12,0.10,0.08,0.26,-0.12,-0.08,-0.05
13,0.08,0.06,0.18,-0.18,-0.12,-0.08
14,0.05,0.02,0.10,-0.22,-0.15,-0.10
15,0.02,-0.02,0.04,-0.24,-0.18,-0.12
16,-0.02,-0.06,0.00,-0.22,-0.16,-0.10
17,-0.05,-0.08,-0.02,-0.18,-0.12,-0.08
18,-0.08,-0.10,-0.04,-0.12,-0.08,-0.05
19,-0.10,-0.10,-0.04,-0.06,-0.04,-0.02
20,-0.10,-0.08,-0.04,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00
1,0.06,-0.10,0.06,-0.12,-0.15,-0.08
2,0.10,-0.18,0.14,-0.22,-0.28,-0.15
3,0.12,-0.24,0.24,-0.28,-0.36,-0.20
4,0.10,-0.28,0.32,-0.32,-0.40,-0.22
5,0.08,-0.26,0.38,-0.30,-0.38,-0.20
6,0.04,-0.22,0.42,-0.26,-0.32,-0.18
7,-0.02,-0.16,0.44,-0.20,-0.24,-0.12
8,-0.08,-0.10,0.44,-0.12,-0.16,-0.08
9,-0.12,-0.04,0.42,-0.05,-0.08,-0.04
10,-0.14,0.02,0.38,0.00,0.00,0.00
11,-0.14,0.06,0.32,0.05,0.06,0.04
12,-0.12,0.10,0.26,0.10,0.12,0.08
13,-0.08,0.12,0.18,0.14,0.16,0.10
